Participant name,Recording name,Recording resolution height,Recording resolution width,Eyetracker timestamp,Gaze point X,Gaze point Y,Pupil diameter right,Pupil diameter left,Eye movement type
Participant0001,Recording1,1080,1920,486549983.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486558300.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486566701.0,796.0,677.0,,,Saccade
Participant0001,Recording1,1080,1920,486575029.0,805.0,717.0,3.13,3.19,Saccade
Participant0001,Recording1,1080,1920,486583300.0,831.0,706.0,,,Saccade
Participant0001,Recording1,1080,1920,486591698.0,893.0,740.0,,,Saccade
Participant0001,Recording1,1080,1920,486599976.0,909.0,702.0,2.77,,Saccade
Participant0001,Recording1,1080,1920,486608364.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486616639.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486625034.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486633305.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486641690.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486649991.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486658382.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486666697.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486674968.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486683297.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486691633.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486699964.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486708293.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486716687.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486724961.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486733291.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486741622.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486749959.0,,,,,EyesNotFound
Participant0001,Recording1,1080,1920,486758295.0,584.0,889.0,,,Saccade
Participant0001,Recording1,1080,1920,486766621.0,696.0,808.0,,,Saccade
Participant0001,Recording1,1080,1920,486775021.0,677.0,889.0,3.23,3.3,Unclassified
Participant0001,Recording1,1080,1920,486783313.0,684.0,886.0,,,Unclassified
Participant0001,Recording1,1080,1920,486791611.0,705.0,870.0,,,Unclassified
Participant0001,Recording1,1080,1920,486800002.0,695.0,878.0,3.18,3.3,Unclassified
Participant0001,Recording1,1080,1920,486808292.0,682.0,868.0,,,Unclassified
Participant0001,Recording1,1080,1920,486816666.0,693.0,851.0,,,Unclassified
Participant0001,Recording1,1080,1920,486824951.0,699.0,862.0,3.23,3.33,Unclassified
Participant0001,Recording1,1080,1920,486833271.0,712.0,884.0,,,Saccade
Participant0001,Recording1,1080,1920,486841620.0,694.0,918.0,,,Saccade
Participant0001,Recording1,1080,1920,486849944.0,692.0,918.0,3.24,3.28,Fixation
Participant0001,Recording1,1080,1920,486858326.0,705.0,917.0,,,Fixation
Participant0001,Recording1,1080,1920,486866601.0,712.0,909.0,,,Fixation
Participant0001,Recording1,1080,1920,486874956.0,713.0,904.0,3.27,3.3,Fixation
Participant0001,Recording1,1080,1920,486883283.0,723.0,906.0,,,Fixation
Participant0001,Recording1,1080,1920,486891625.0,724.0,913.0,,,Fixation
Participant0001,Recording1,1080,1920,486899935.0,722.0,914.0,3.31,3.29,Fixation
Participant0001,Recording1,1080,1920,486908261.0,722.0,918.0,,,Fixation
Participant0001,Recording1,1080,1920,486916593.0,727.0,934.0,,,Saccade
Participant0001,Recording1,1080,1920,486924938.0,830.0,956.0,3.34,3.31,Saccade
Participant0001,Recording1,1080,1920,486933262.0,945.0,991.0,,,Saccade
Participant0001,Recording1,1080,1920,486941593.0,1020.0,994.0,,,Saccade
Participant0001,Recording1,1080,1920,486949931.0,1046.0,997.0,3.32,3.28,Saccade
Participant0001,Recording1,1080,1920,486958274.0,1047.0,1001.0,,,Fixation
Participant0001,Recording1,1080,1920,486966592.0,1036.0,1010.0,,,Fixation
Participant0001,Recording1,1080,1920,486974929.0,1030.0,1010.0,3.3,3.28,Fixation
Participant0001,Recording1,1080,1920,486983255.0,1024.0,990.0,,,Fixation
Participant0001,Recording1,1080,1920,486991585.0,1015.0,997.0,,,Fixation
Participant0001,Recording1,1080,1920,486999946.0,1010.0,1004.0,3.28,3.38,Fixation
Participant0001,Recording1,1080,1920,487008253.0,1021.0,1013.0,,,Fixation
Participant0001,Recording1,1080,1920,487016639.0,1037.0,1013.0,,,Fixation
Participant0001,Recording1,1080,1920,487025010.0,1035.0,1006.0,3.28,3.33,Fixation
Participant0001,Recording1,1080,1920,487033257.0,1018.0,1001.0,,,Fixation
Participant0001,Recording1,1080,1920,487041587.0,1022.0,994.0,,,Fixation
Participant0001,Recording1,1080,1920,487049917.0,1030.0,991.0,3.2,3.34,Fixation
Participant0001,Recording1,1080,1920,487058246.0,1031.0,994.0,,,Fixation
