dataset,label,is_random_baseline_beaten,clf_or_regr,n_classes_or_-,best_ml_methods,best_ml_f1_or_r2,best_dl_methods,best_dl_f1_or_r2
3D,condition_label,True,clf,6,complex_features,0.3109512112165036,"2d_baseline, merged_baseline, timeseries",0.2575158645670096
AFC,mod_label,False,clf,6,"all_features, complex_features, distance_features, simple_features",0.1736502804581267,"2d_baseline, 2d_gaf, merged_baseline, merged_gaf",0.1709200944780765
AFC,scr_label,False,clf,5,"all_features, complex_features, simple_features",0.243552805875473,"2d_baseline, 2d_heatmap, merged_baseline",0.2355038056410467
APP,known_label,True,clf,2,"complex_features, distance_features, extended_features",0.6812070771737866,"2d_baseline, 2d_heatmap, merged_baseline, merged_heatmap, merged_mtf",0.5411482734013837
APP,meta_certainty_label,True,clf,6,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"2d_gaf, 2d_heatmap, 2d_mtf, merged_heatmap, merged_mtf",0.1770447027140787
APP,mod_label,True,clf,4,"all_features, complex_features",0.4930470630446289,"2d_heatmap, merged_baseline",0.633993896925859
ASD_ready_data_fixations,ASD_label,True,clf,2,"all_features, extended_features, simple_features",0.7049422676666255,"merged_heatmap, merged_mtf, timeseries",0.6561326931470973
Age_study,group_category_label,True,clf,4,"all_features, complex_features",0.4413078359802652,"2d_baseline, 2d_heatmap, merged_baseline, merged_heatmap",0.3679134123118809
Age_study,meta_age_label,True,clf,3,"all_features, complex_features, distance_features, extended_features, simple_features",1.0,"merged_baseline, merged_heatmap",0.5541357640558374
Baseline,group_category_label,True,clf,4,"all_features, complex_features",0.4579999859124037,"2d_baseline, merged_baseline, timeseries",0.3589382898612633
Bias,group_category_label,True,clf,4,all_features,0.4719029607341846,"2d_baseline, 2d_heatmap, merged_baseline, merged_heatmap",0.3912941579649678
Cognitive_load_ready_data_gazes_0.02,effort_label,True,regr,-,simple_features,0.5461569366003101,merged_baseline,0.0159065723419189
Cognitive_load_ready_data_gazes_0.02,frustration_label,True,regr,-,distance_features,0.545852780342102,2d_baseline,0.0811482667922973
Cognitive_load_ready_data_gazes_0.02,group_task_label,True,clf,4,distance_features,0.6984942302279764,"2d_baseline, 2d_gaf, merged_baseline, merged_heatmap",0.4632218271924154
Cognitive_load_ready_data_gazes_0.02,mean_label,True,regr,-,extended_features,0.966536443174824,merged_baseline,0.0337787866592407
Cognitive_load_ready_data_gazes_0.02,mental_label,True,regr,-,extended_features,0.6801014761392234,"2d_heatmap, merged_mtf",0.0057309865951538
Cognitive_load_ready_data_gazes_0.02,performance_label,True,regr,-,all_features,0.36579881334337,2d_baseline,0.0117032527923583
Cognitive_load_ready_data_gazes_0.02,physical_label,True,regr,-,all_features,0.4551218900703705,2d_mtf,-0.0757734775543212
