dataset,label,feature_battery,task_type,best_model,n_features,n_train,n_val,n_test,timestamp,train_best_loss,train_best_model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_n_classes,train_class_distribution,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_n_classes,val_class_distribution,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_n_classes,test_class_distribution,train_r2,train_mse,train_rmse,train_mae,train_mean_target,train_std_target,val_r2,val_mse,val_rmse,val_mae,val_mean_target,val_std_target,test_r2,test_mse,test_rmse,test_mae,test_mean_target,test_std_target,error
3D_condition_label,condition_label,all_features,classification,LGBMClassifier,471.0,1079.0,360.0,360.0,2026-02-11T01:59:49.020359,0.6677222867657826,LGBMClassifier,0.98887859128823,0.9889393647569532,0.9888785433478172,0.9888886031004614,,6.0,"{1: 180, 2: 180, 3: 180, 4: 179, 5: 180, 6: 180}",0.9888888888888888,0.989247311827957,0.9888888888888888,0.9888614546280892,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",0.2916666666666667,0.2752590547672515,0.2916666666666666,0.2794200621829488,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",,,,,,,,,,,,,,,,,,,
3D_condition_label,condition_label,complex_features,classification,LGBMClassifier,372.0,1079.0,360.0,360.0,2026-02-11T01:49:46.938435,0.6873528686617774,LGBMClassifier,0.7655236329935126,0.7707419100314344,0.7655855576246636,0.764848325391362,,6.0,"{1: 180, 2: 180, 3: 180, 4: 179, 5: 180, 6: 180}",0.8055555555555556,0.8151663520157966,0.8055555555555555,0.805172781225432,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",0.3194444444444444,0.3191072317224138,0.3194444444444445,0.3109512112165036,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",,,,,,,,,,,,,,,,,,,
3D_condition_label,condition_label,distance_features,classification,XGBClassifier,24.0,1079.0,360.0,360.0,2026-02-11T01:54:47.440804,0.8061468242378148,XGBClassifier,0.458758109360519,0.4600801866664143,0.4587006000413822,0.4582993071953534,,6.0,"{1: 180, 2: 180, 3: 180, 4: 179, 5: 180, 6: 180}",0.4138888888888888,0.41618680332381,0.4138888888888889,0.4111521059362786,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",0.1472222222222222,0.1505104670246946,0.1472222222222222,0.1470954067716578,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",,,,,,,,,,,,,,,,,,,
3D_condition_label,condition_label,extended_features,classification,XGBClassifier,62.0,1079.0,360.0,360.0,2026-02-11T01:44:45.186361,0.6558154479846319,XGBClassifier,0.6561631139944393,0.6750504946476051,0.6562538795779019,0.655590374196574,,6.0,"{1: 180, 2: 180, 3: 180, 4: 179, 5: 180, 6: 180}",0.725,0.7387657027776036,0.725,0.7232298729108546,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",0.2833333333333333,0.2585967150535196,0.2833333333333334,0.2545532670559325,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",,,,,,,,,,,,,,,,,,,
3D_condition_label,condition_label,simple_features,classification,XGBClassifier,12.0,1079.0,360.0,360.0,2026-02-11T01:39:44.397871,0.673851133116399,XGBClassifier,0.3697868396663577,0.3743138523863501,0.3698530933167804,0.3606032753305439,,6.0,"{1: 180, 2: 180, 3: 180, 4: 179, 5: 180, 6: 180}",0.4638888888888889,0.4902932981495746,0.4638888888888888,0.4611698178766803,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",0.3166666666666666,0.3253204154133198,0.3166666666666666,0.2831079209691285,,6.0,"{1: 60, 2: 60, 3: 60, 4: 60, 5: 60, 6: 60}",,,,,,,,,,,,,,,,,,,
AFC_mod_label,mod_label,all_features,classification,XGBClassifier,472.0,1532.0,512.0,510.0,2026-02-11T02:24:54.002763,0.8027167067158884,XGBClassifier,0.5052219321148825,0.5057833276475359,0.5047812499179408,0.5049396169697818,,6.0,"{-60.0: 244, -20.0: 255, 0.0: 265, 20.0: 256, 60.0: 261, 100.0: 251}",0.5390625,0.5452102872360723,0.539191500407543,0.5403073994456594,,6.0,"{-60.0: 86, -20.0: 84, 0.0: 84, 20.0: 86, 60.0: 89, 100.0: 83}",0.1588235294117647,0.1592280810264159,0.1591460666127959,0.1576678732528399,,6.0,"{-60.0: 85, -20.0: 84, 0.0: 87, 20.0: 85, 60.0: 87, 100.0: 82}",,,,,,,,,,,,,,,,,,,
AFC_mod_label,mod_label,complex_features,classification,LGBMClassifier,373.0,1532.0,512.0,510.0,2026-02-11T02:14:51.245403,0.8004132385660286,LGBMClassifier,0.4275456919060052,0.4324975094607167,0.4275517278415144,0.4278711611742343,,6.0,"{-60.0: 244, -20.0: 255, 0.0: 265, 20.0: 256, 60.0: 261, 100.0: 251}",0.4296875,0.4285983950391747,0.4315400389868106,0.4277813073064964,,6.0,"{-60.0: 86, -20.0: 84, 0.0: 84, 20.0: 86, 60.0: 89, 100.0: 83}",0.1607843137254902,0.1596198392949494,0.1604360583594245,0.1598505513004071,,6.0,"{-60.0: 85, -20.0: 84, 0.0: 87, 20.0: 85, 60.0: 87, 100.0: 82}",,,,,,,,,,,,,,,,,,,
AFC_mod_label,mod_label,distance_features,classification,LGBMClassifier,25.0,1532.0,512.0,510.0,2026-02-11T02:19:51.606927,0.7931177649324376,LGBMClassifier,0.79177545691906,0.7942739822808434,0.7916527566464304,0.7922726655008999,,6.0,"{-60.0: 244, -20.0: 255, 0.0: 265, 20.0: 256, 60.0: 261, 100.0: 251}",1.0,1.0,1.0,1.0,,6.0,"{-60.0: 86, -20.0: 84, 0.0: 84, 20.0: 86, 60.0: 89, 100.0: 83}",0.1647058823529411,0.1644215755688755,0.1652486534282903,0.1634211671770968,,6.0,"{-60.0: 85, -20.0: 84, 0.0: 87, 20.0: 85, 60.0: 87, 100.0: 82}",,,,,,,,,,,,,,,,,,,
AFC_mod_label,mod_label,extended_features,classification,LGBMClassifier,63.0,1532.0,512.0,510.0,2026-02-11T02:09:49.836253,0.7936311642770945,LGBMClassifier,0.5359007832898173,0.5376531073951507,0.5355390442579689,0.5361189534689793,,6.0,"{-60.0: 244, -20.0: 255, 0.0: 265, 20.0: 256, 60.0: 261, 100.0: 251}",0.537109375,0.5396746018904677,0.5372218214503216,0.5364679952047038,,6.0,"{-60.0: 86, -20.0: 84, 0.0: 84, 20.0: 86, 60.0: 89, 100.0: 83}",0.1529411764705882,0.1518498591079236,0.1528514966401475,0.152092173261654,,6.0,"{-60.0: 85, -20.0: 84, 0.0: 87, 20.0: 85, 60.0: 87, 100.0: 82}",,,,,,,,,,,,,,,,,,,
AFC_mod_label,mod_label,simple_features,classification,XGBClassifier,13.0,1532.0,512.0,510.0,2026-02-11T02:04:49.366618,0.799870169198366,XGBClassifier,0.3498694516971279,0.3544613517863252,0.3495250094011246,0.3456644706093108,,6.0,"{-60.0: 244, -20.0: 255, 0.0: 265, 20.0: 256, 60.0: 261, 100.0: 251}",0.3828125,0.3900611523397514,0.3828393819657541,0.3800193365059765,,6.0,"{-60.0: 86, -20.0: 84, 0.0: 84, 20.0: 86, 60.0: 89, 100.0: 83}",0.1764705882352941,0.1733963159258034,0.1769148646282174,0.1736502804581267,,6.0,"{-60.0: 85, -20.0: 84, 0.0: 87, 20.0: 85, 60.0: 87, 100.0: 82}",,,,,,,,,,,,,,,,,,,
